Category;ProductNaam;Eenheid;EenheidGewicht;Energie;Eiwit;Koolhydraat;VetTotaal;VetVerzadigd;VetOnverzadigd;VetzurenTrans;Linolzuur;Cholesterol;Alcohol;Vezels;Na;Ca;Fe;Mg;Se;Zn;K;P;VitamineA;VitamineB1;VitamineB2;VitamineB6;VitamineB12;VitamineC;VitamineD;VitamineE;Foliumzuur;Nicotz;totMdisac;totPdisac;eiwitP;PEiw
Aardappel, rijst, pasta;Zilvervliesrijst gekookt mz ;groentelepel punt;60;119;3;24;1;0;1;0;0.5;0;0;1.4;150;8;0.6;46;9;0.9;99;140;0;0.1;0.04;0.09;0;0;0;0.2;5;1.3;0;23.6;12;45.2
Aardappel, rijst, pasta;Zilvervliesrijst gekookt zz ;groentelepel punt;60;119;3;24;1;0;1;0;0.5;0;0;1.4;9;8;0.6;46;9;0.9;99;140;0;0.1;0.04;0.09;0;0;0;0.2;5;1.3;0;23.6;12;45.2
Aardappel, rijst, pasta;Zilvervliesrijst rauw ;kopje;90;351;8;74;3;1;2;0;1;0;0;3;1;12;1.3;157;2;0.8;250;300;0;0.34;0.03;0.25;0;0;0;0.8;36;6.1;1;71;33;36.1
Boter, margarine, olie, vet;Bak/braadv vl 97% et<17g vv ;theelepel;2;881;1;1;97;12;85;0.8;45.6;3;0;0;387;;;;;;;;843;0;0;0;0;0;12.2;34;;0;1;0;4;
Boter, margarine, olie, vet;Bak/braadv vl 97% et>17g vv ;klontje;13;875;0;1;97;38;59;1.3;21.4;65;0;0;323;1;0;0;1;0;4;2;802;0;0;0;0;0;8.9;21;;0;1;0;0;
Boter, margarine, olie, vet;Bak/brvet v70-80%vet>17g vv ;eetlepel punt;13;689;0;0;77;25;52;1;22.5;0;0;0;400;7;0;;;;23;;775;0;0;0;0;0;7;16;;0;0;0;0;
Boter, margarine, olie, vet;Becel Pro.activ ;beleg (dik);8;330;0;4;35;8;27;0.5;13.3;1;0;0.2;20;;;;;;8;;800;;;;;;7.5;43;;;0;3.7;0;
Boter, margarine, olie, vet;Boter gezouten ;broodbeleg;8;737;1;1;81;53;29;3.5;0.9;221;0;0;400;21;0.1;2;1;0.08;27;22;866;0.01;0.03;0;0;0;1.2;2.5;0;0;1.1;0;0;31.4
Boter, margarine, olie, vet;Boter halfvol ;beleg (dik);8;337;0;1;37;22;15;1.6;0.4;97;0;0;145;11;0.1;1;;0;32;40;372;0;0;0;0;0;0.6;0.8;0;0;0.7;0;0;133.3
Boter, margarine, olie, vet;Boter ongezouten ;beleg (dik);8;737;1;1;81;53;28;3.5;1;221;0;0;5;17;0.1;2;1;0.09;27;23;867;0.01;0.03;0;0;0;1.2;1.9;0;0;1.1;0;0;32.9
Boter, margarine, olie, vet;Frituurvet vast >24g v v ;gram;1;900;0;0;100;49;51;2.4;10.2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;
Boter, margarine, olie, vet;Frituurvet vast gemiddeld ;eetlepel;15;899;0;0;100;43;57;9.1;9.8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;
Boter, margarine, olie, vet;Frituurvet vloeib <24g v v ;eetlepel;15;900;0;0;100;12;88;0.8;35.5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;
Boter, margarine, olie, vet;Halvarine ;beleg (dik);8;363;0;1;40;10;30;0.8;12.9;1;0;0.2;193;;;;;;100;;768;0;0;0;0;0;7.2;11.2;;0;0.1;1.1;4;
Boter, margarine, olie, vet;Halvarine 35% vet <10 g v v ;beleg (dik);8;316;0;0;35;8;27;0.9;14;1;0;0;10;7;;;;;44;6;869;0;0;0;0;0;7.9;12.7;;0;0;0;1;30
Boter, margarine, olie, vet;Halvarine 35%vet ;beleg (dik);8;259;3;6;25;6;19;1;5.1;;0;0;120;10;;2;;;16;14;800;0;0;0;0;0;7.5;11;;0;0;6;10;5.6
Boter, margarine, olie, vet;Halvarine Becel Pro.activ ;beleg (dik);8;330;0;4;35;8;27;0.5;13.3;1;0;0.2;20;;;;;;8;;800;;;;;;7.5;43;;;0;3.7;0;
Boter, margarine, olie, vet;Halvarine Benecol light ;beleg (dik);8;318;3;0;34;8;26;0.2;;;0;0.8;100;;;;;;;;750;;;;;;7.2;;;;0.2;0;11;
Boter, margarine, olie, vet;Halvarine dieet- ;beleg (dik);8;259;3;6;25;6;19;1;5.1;;0;0;120;10;;2;;;16;14;800;0;0;0;0;0;7.5;11;;0;0;6;10;5.6
Boter, margarine, olie, vet;Halvarine Goede Start BlueB ;beleg (dik);8;365;0;6;38;12;26;1;11.5;0;0;0;120;600;;;;;;;800;1.4;1.6;2;1;;6.3;25;;;0.3;5.3;0;
Boter, margarine, olie, vet;Halvarineproduct 40 % vet ;beleg (dik);8;363;0;1;40;10;30;0.8;12.9;1;0;0.2;193;;;;;;100;;768;0;0;0;0;0;7.2;11.2;;0;0.1;1.1;4;
Boter, margarine, olie, vet;mais-olie ;desertlepel;7;900;0;0;100;13;87;0;54.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.2;0;0;0;0;0;
Boter, margarine, olie, vet;Maiskiem-olie ;eetlepel punt;10;900;0;0;100;13;87;0;54.2;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;
Boter, margarine, olie, vet;Margarine ;beleg (dik);8;719;0;0;80;33;47;0.9;15.9;3;0;0;331;;;;;;;;840;0;0;0;0;0;7.2;8;;0;0;0;0;
Boter, margarine, olie, vet;Margarine (pakje) ;pakje;;719;0;0;80;33;47;0.9;15.9;3;0;0;331;;;;;;;;840;0;0;0;0;0;7.2;8;;0;0;0;0;
Boter, margarine, olie, vet;Margarine 60% vet <17g v v ;beleg (dik);8;541;0;0;60;13;48;0.8;25;2;0;0;7;7;;;;;22;;800;;;;;;7.5;20;;;0.2;0;4;
Boter, margarine, olie, vet;Margarine 70% vet <17g v v ;beleg (dik);8;634;0;1;70;14;56;1;25.2;1;0;0;72;;;;;;;;819;0;0;0;0;0;7.9;17;;0;1;0;0;
Boter, margarine, olie, vet;Margarine 70% vet >17g v v ;;;630;0;0;70;20;50;1;30;2;0;0;130;;;;;;;;806;0;0;0;0;0;6.2;8;;0;0;0;0;
Boter, margarine, olie, vet;Margarine 80%vet 17-24g v v ;beleg (dik);8;720;0;0;80;19;61;0.7;22.4;;0;0;233;;;;;;;;814;0;0;0;0;0;7.2;;;0;0;0;0;
Boter, margarine, olie, vet;Margarine Benecol sm/bak ;;;561;0;1;62;16;46;0.3;;;0;0.1;10;;;;;;;;750;;;;;;7.2;;;;0.5;0;1;
Boter, margarine, olie, vet;Margarine vl 80%vet <17g v v ;eetlepel punt;13;734;0;0;82;9;73;0.9;25.1;5;0;0;407;1;0;;;;0;;764;;;;0;;8;22;;;0.1;0;0;
Boter, margarine, olie, vet;Olie alle soorten ;portie;7;894;0;0;99;15;84;0.3;51.8;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;28.4;0;0;0;0;1;
Boter, margarine, olie, vet;Olie arachide- ;eetlepel punt;10;900;0;0;100;18;82;0.1;30.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.2;0;0;0;0;0;
Boter, margarine, olie, vet;Olie Becel ;eetlepel punt;10;900;0;0;100;12;88;1;64.3;2;0;0;0;0;0;0;;0;0;0;4;0;0;0;0;0;;62;0;0;0;0;0;
Boter, margarine, olie, vet;Olie zonnebloem- ;desertlepel;7;898;0;0;100;12;88;0;62.1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;76;0;0;0;0.2;1;
Boter, margarine, olie, vet;Olijfolie ;eetlepel punt;10;900;0;0;100;14;86;0;7.4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;5.1;0;0;0;0;0;
Boter, margarine, olie, vet;Roomboter gezouten ;broodbeleg;8;737;1;1;81;53;29;3.5;0.9;221;0;0;400;21;0.1;2;1;0.08;27;22;866;0.01;0.03;0;0;0;1.2;2.5;0;0;1.1;0;0;31.4
Boter, margarine, olie, vet;Roomboter halfvol ;beleg (dik);8;337;0;1;37;22;15;1.6;0.4;97;0;0;145;11;0.1;1;;0;32;40;372;0;0;0;0;0;0.6;0.8;0;0;0.7;0;0;133.3
Boter, margarine, olie, vet;Roomboter ongezouten ;beleg (dik);8;737;1;1;81;53;28;3.5;1;221;0;0;5;17;0.1;2;1;0.09;27;23;867;0.01;0.03;0;0;0;1.2;1.9;0;0;1.1;0;0;32.9
Boter, margarine, olie, vet;Rundervet uitgesmolten ;theelepel;5;891;0;0;99;50;49;3.2;2.4;60;0;0;0;0;0;0;0;0.76;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;
Boter, margarine, olie, vet;Saffloer-olie ;eetlepel punt;10;900;0;0;100;10;90;0;71.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40.7;0;0;0;0;0;
Boter, margarine, olie, vet;Slaolie ;portie;7;894;0;0;99;15;84;0.3;51.8;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;28.4;0;0;0;0;1;
Boter, margarine, olie, vet;Smeltjus onbereid pakje ;klontje;13;650;1;4;70;38;32;1;8.5;1;0;0;1.366;;0.2;;;0.26;;;0;;;;0;;0;11;0;;0.5;3.5;4;
Boter, margarine, olie, vet;Soja-olie ;portie;7;894;0;0;99;15;84;0.3;51.8;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;28.4;0;0;0;0;1;
Boter, margarine, olie, vet;Varknesvet uitgesmolten ;theelepel;5;900;0;0;100;48;52;3.5;6.9;60;0;0;0;0;0;0;0;0.5;0;0;9;0;0;0;0;0;1.5;0;0;0;0;0;0;
Brood, graan, ontbijtproducten;Aardappelmeel ;eetlepel punt;10;320;0;80;0;0;0;0;0;0;0;0;5;20;0.5;3;0;0.3;10;30;0;0;0;0;0;0;0;0;0;0;4;76;0;
Brood, graan, ontbijtproducten;Agar agar gedroogd ;eetlepel;6;351;6;81;0;0;0;0;0;0;0;7.7;102;625;21.4;770;7;5.8;1.125;52;0;0.01;0.22;0.3;0;0;0;5;580;0.2;;;25;8.4
Brood, graan, ontbijtproducten;All Bran Kellogg's ontbijtpro ;lepel;5;275;14;48;3;1;2;0;1.5;0;0;27;900;60;8.8;220;;6;800;610;0;0.9;1;1.3;0.65;0;0;;376;11.3;17;31;56;43.6
Brood, graan, ontbijtproducten;Allison brood ;bolletje;50;220;9;41;3;1;2;0;1.1;1;0;6.8;531;33;2.6;66;4;1.43;274;239;0;0.27;0.07;0.25;0;0;0;0.2;23;2.4;4.7;35.8;35;27.2
Brood, graan, ontbijtproducten;Amandelbroodje ;stuks;60;437;9;49;23;10;13;2;2.2;42;0;3.6;238;71;1.3;65;4;1.01;260;149;185;0.05;0.14;0.07;0.21;2;1.6;0.3;18;1;30.1;18.7;27;17.5
Brood, graan, ontbijtproducten;Bakmeel zelfrijzend ;eetlepel punt;10;341;11;72;1;0;1;0;0.4;0;0;2;891;10;0.8;20;4;0.6;150;80;0;0.08;0.05;0.12;0;0;0;0.4;14;1;5;67;43;7.4
Brood, graan, ontbijtproducten;Bakmix bruin Ca+ glutenvrij ;gram;1;357;4;84;1;0;0;0;0.1;0;0;9;300;900;4;52;;0.1;300;150;;0.5;0.5;0.4;0;0;0;;0;5;9;75;16;37.5
Brood, graan, ontbijtproducten;Bakmix wit Ca+ glutenvrij ;pak;500;353;3;84;1;0;0;0;0;0;0;0.7;200;540;4;12;;;190;120;;0.5;0.5;0.4;0;0;0;;0;5;5;79;10;48
Brood, graan, ontbijtproducten;Bambix Groeipap 8 granen ;gram;1;337;10;71;1;0;1;0;0.7;0;0;11;20;20;11;90;;2.2;410;300;0;0.8;0.06;0.3;0;0;0;;35;0;8;62.8;42;28.8
